probIn scale
0.4766725 0.006018642
0.4804253 0.0058462
0.4653972 0.006159252
0.4560128 0.00623756
0.4972992 0.006334468
0.4363284 0.005999412
0.3790041 0.006276562
0.4362642 0.005941665
0.4175081 0.006181537
0.3767813 0.006670228
0.3592609 0.006651571
0.368957 0.006425806
0.3512106 0.006323095
0.3526212 0.006444327
0.3873184 0.006299803
0.3717749 0.00636425
0.3841741 0.006601551
0.4062311 0.006970338
0.3097007 0.007022476
0.2745617 0.007122587
0.284783 0.006826676
0.2805118 0.006793438
0.2509435 0.007074119
0.3095708 0.006759177
0.327546 0.00660604
0.3934146 0.005905548
0.3826884 0.006209596
0.4087846 0.006148171
0.3671488 0.006128726
0.3560182 0.005933946
0.3406008 0.005981266
0.2903633 0.005745224
0.3347788 0.005894231
0.2879388 0.005747283
0.2741471 0.005408637
0.2631096 0.005026376
0.2530644 0.005456846
0.2917048 0.005091622
0.2785777 0.005378784
0.2398402 0.005286338
0.246671 0.004681516
0.2705163 0.004426979
0.2604588 0.004628286
0.2695246 0.0047624
0.3179488 0.00457654
0.2920976 0.00458853
0.3205388 0.004435097
0.3548454 0.004412922
0.3251469 0.004548597
0.3260024 0.004721144
0.2957263 0.004855634
0.2747925 0.004746318
0.2398713 0.004516361
0.3138715 0.004249559
0.311424 0.004127284
0.2947117 0.004160078
0.3444001 0.004333041
0.3236208 0.004427212
0.3327064 0.004216981
0.3033004 0.004267594
0.3091883 0.004295855
0.3289652 0.004255132
0.2812695 0.004374081
0.2777409 0.004587342
0.2850238 0.004129798
0.3287929 0.004305573
0.3363486 0.004302983
0.3283565 0.00454874
0.3735536 0.004530839
0.2959358 0.00454189
0.2905907 0.004639846
0.3461625 0.004644595
0.3425634 0.004694393
0.3885275 0.004504352
0.3593254 0.004716949
0.3429774 0.004538303
0.2980323 0.004413767
0.3242585 0.004048253
0.329183 0.004130978
0.3424486 0.003973822
0.3266636 0.003979836
0.2998947 0.003763382
0.3078711 0.003535003
0.3581827 0.003500335
0.3119149 0.003860254
0.3485554 0.003665273
0.3203572 0.003501741
0.3564609 0.003489061
0.385656 0.00346233
0.3945837 0.003318953
0.3445233 0.003343447
0.3416953 0.003417243
0.3345042 0.003252561
0.3928855 0.003198329
0.3830173 0.003096076
0.4064833 0.003108172
0.3743647 0.003206765
0.370749 0.003160904
0.3745018 0.003261244
0.4023304 0.003217431
0.4185804 0.003365476
0.4635794 0.003266078
0.5099753 0.002877805
0.4709189 0.002846856
0.4607369 0.002800271
0.4396731 0.002983308
0.365302 0.002863073
0.4815714 0.002798213
0.525988 0.002779134
0.5461392 0.002548137
0.4558503 0.002626816
0.4553691 0.002512546
0.4538423 0.002511735
0.4148431 0.002635781
0.4064863 0.002818056
0.4027823 0.002973936
0.4596464 0.003186599
0.4910651 0.00322431
0.536711 0.003239565
0.5408044 0.003322301
0.5693103 0.003214898
0.5160577 0.003320199
0.5373374 0.00306278
0.5056883 0.003056745
0.5050049 0.003166086
0.4919034 0.003071176
0.5502481 0.003120338
0.56187 0.002707274
0.5794714 0.002714287
0.5555414 0.002771855
0.5662954 0.002652952
0.5428776 0.00271488
0.5015476 0.003011078
0.5280957 0.003341191
0.4983325 0.00310382
0.4643128 0.0030184
0.4411874 0.003096685
0.4449949 0.003309306
0.4754677 0.003314071
0.4615652 0.003194023
0.4561845 0.00333059
0.482776 0.003264766
0.5059828 0.003339129
0.46588 0.003028085
0.5237837 0.002951336
0.5112311 0.002729802
0.5055112 0.002509374
0.5001483 0.002397109
0.4090272 0.002487993
0.4167488 0.002230949
0.3893592 0.002345071
0.3412401 0.002219091
0.3344822 0.002197269
0.3666985 0.002215099
0.4041532 0.002108898
0.388276 0.002278873
0.4259213 0.002306467
0.4428133 0.00232974
0.4252359 0.002405519
0.4380197 0.002428081
0.434755 0.002562057
0.4361013 0.002554227
0.4577965 0.002455809
0.5110993 0.002466873
0.5193289 0.002627125
0.5261383 0.00261507
0.5420856 0.002747447
0.527485 0.002758517
0.5228565 0.002773263
0.4394027 0.002597862
0.4106066 0.002381736
0.3656799 0.002232503
0.3685387 0.00219292
0.4069151 0.002309567
0.3411827 0.002275375
0.313538 0.002255294
0.2678311 0.002166079
0.2719682 0.002280724
0.2398437 0.002138088
0.2424285 0.002047654
0.2745522 0.001915446
0.2751337 0.001986367
0.3343209 0.001965041
0.3895908 0.001807917
0.402479 0.001773482
0.371489 0.00186488
0.3481391 0.001935435
0.3558627 0.002010496
0.3510897 0.001910984
0.4158557 0.001869644
0.4327597 0.001858059
0.4235573 0.001729892
0.4527959 0.001771808
0.4823461 0.001652184
0.3977699 0.0015404
0.3524193 0.001591566
0.3811986 0.001705222
0.405775 0.001707334
0.4430035 0.00177695
0.4712062 0.001760584
