id sire dam generation sex phen env tbvp gebvp
4351 3883 4143 10 F  0.203730698 -0.769910257 1.0216491 0
4352 3883 4143 10 F  1.312938818 -0.377134849 1.5771548 0
4353 3883 4143 10 M -1.512214955 -1.839475134 0.8360909 0
4354 3883 4143 10 F  1.068761607 -0.398691026 1.3606896 0
4355 3883 4143 10 M  1.027219843  0.154719385 1.1877365 0
4356 3883 4179 10 M  1.027042596  0.339151263 1.1494061 0
4357 3883 4179 10 M  0.247566140  0.179668944 0.9515487 0
4358 3883 4179 10 F  0.425991286  0.113597684 1.0242805 0
4359 3883 4179 10 F  0.752606875  0.375199016 1.1063566 0
4360 3883 4179 10 M  1.295003798  1.161240581 1.0154869 0
4361 4190 4328 10 F  1.717761056  0.764005073 0.8718675 0
4362 4190 4328 10 F  1.533274717  0.140605363 1.1234080 0
4363 4190 4328 10 M  2.318466027  0.725672047 1.0909097 0
4364 4190 4328 10 F  1.382714855  0.373537752 0.8115399 0
4365 4190 4328 10 M  1.984125465  0.367243982 1.1896979 0
4366 4190 3989 10 M  0.352220646 -0.761377111 1.0188208 0
4367 4190 3989 10 M  2.500119058  0.007051550 1.5497587 0
4368 4190 3989 10 F  0.438390075 -0.741934700 1.0487996 0
4369 4190 3989 10 F  1.050249804  0.426966910 0.9186344 0
4370 4190 3989 10 F  1.659308640  0.085515560 1.3321519 0
4371 4024 3882 10 M  0.328926583 -0.803137550 1.3535682 0
4372 4024 3882 10 M  1.388959811  0.824043645 1.1223523 0
4373 4024 3882 10 M  1.439811878  0.737235703 0.7966339 0
4374 4024 3882 10 M  2.759653987  1.358159087 0.9612682 0
4375 4024 3882 10 M  1.046173231 -0.332290142 1.0613590 0
4376 4024 4202 10 M  0.316286803 -0.343051549 1.0711364 0
4377 4024 4202 10 M  2.643478694  1.219195711 0.9277699 0
4378 4024 4202 10 M  1.742477793  0.128117827 1.1452440 0
4379 4024 4202 10 M  1.216725554  0.173454005 1.1304217 0
4380 4024 4202 10 M  1.029787545 -0.100493779 1.0336829 0
4381 3979 4183 10 F  0.846461186 -0.735151115 1.2334523 0
4382 3979 4183 10 F  0.710369401 -0.889520674 1.2302300 0
4383 3979 4183 10 F  0.926583462  0.044174388 0.8800479 0
4384 3979 4183 10 M  0.732962143 -0.148728856 0.7865580 0
4385 3979 4183 10 F  1.430168080 -0.308494976 1.4201269 0
4386 3979 4058 10 F  1.945590412  0.630837511 1.1761231 0
4387 3979 4058 10 M  0.887403922 -0.223477000 1.0785004 0
4388 3979 4058 10 M  0.248026309 -0.355028964 0.7064170 0
4389 3979 4058 10 M  0.668372502 -0.312624880 1.0701350 0
4390 3979 4058 10 F -0.178503412 -0.538518047 0.6503474 0
4391 4246 4349 10 M  0.079652654 -0.452777421 1.0253161 0
4392 4246 4349 10 F  1.419134396  0.852247607 1.0418708 0
4393 4246 4349 10 F  1.946666757  0.787896510 1.0054238 0
4394 4246 4349 10 F -0.402687291 -0.793696383 0.6074282 0
4395 4246 4349 10 M  0.241770710 -0.343531910 0.6051959 0
4396 4246 4187 10 M  1.058101631 -0.090688841 1.1060010 0
4397 4246 4187 10 M -0.913839677 -1.700994540 0.7638299 0
4398 4246 4187 10 M  0.747709323 -0.134778868 0.8779704 0
4399 4246 4187 10 M  1.711484404  0.498149756 0.9653397 0
4400 4246 4187 10 M  0.537636005 -0.250624922 0.8198174 0
4401 4116 4286 10 F  1.502208189  0.256755828 0.7106808 0
4402 4116 4286 10 M -0.876181889 -0.796218042 0.3192981 0
4403 4116 4286 10 F  1.789016878  0.597897696 0.8579610 0
4404 4116 4286 10 M -0.276196611 -1.221144851 1.0315118 0
4405 4116 4286 10 F  0.060307990 -0.613312887 0.8604554 0
4406 4116 4186 10 M  0.348299534 -0.406907125 1.2465507 0
4407 4116 4186 10 M  1.428378410  0.277788538 1.2710859 0
4408 4116 4186 10 F  1.893314958  0.834412461 1.0456417 0
4409 4116 4186 10 F  0.747728430 -0.212841053 0.9451825 0
4410 4116 4186 10 M  1.245407322 -0.111621388 1.0682674 0
4411 3938 4109 10 M  1.110271751 -0.476769168 1.1842068 0
4412 3938 4109 10 F  0.051071302 -1.183299878 1.0264979 0
4413 3938 4109 10 F  1.638432730  0.545785365 1.1501860 0
4414 3938 4109 10 M -0.322626759 -0.982693755 1.0625315 0
4415 3938 4109 10 F  1.202505623  0.118315651 1.0636777 0
4416 3938 3879 10 M  2.299689574  0.659959711 1.1036393 0
4417 3938 3879 10 M -0.289316542 -1.875393782 1.0682976 0
4418 3938 3879 10 M  1.019771500  0.708866371 1.0519497 0
4419 3938 3879 10 M  1.241865268  0.714062205 1.0487809 0
4420 3938 3879 10 M -0.076284819 -0.736189387 1.0830733 0
4421 4304 4015 10 F  0.616631921 -0.201709714 1.0727837 0
4422 4304 4015 10 F  3.602705261  0.991617464 1.1140787 0
4423 4304 4015 10 F  0.950163521 -0.548676404 1.1324174 0
4424 4304 4015 10 F  0.112777033 -0.372942905 0.7640401 0
4425 4304 4015 10 M  1.054124941  0.477482676 0.8036095 0
4426 4304 4315 10 F  2.215611663 -0.130684545 1.4023025 0
4427 4304 4315 10 M  0.865824840 -0.594130408 1.2363151 0
4428 4304 4315 10 F  2.485247149  0.854070344 1.1999284 0
4429 4304 4315 10 F  1.562117755 -0.333261289 1.4056815 0
4430 4304 4315 10 F  1.196358060 -0.330615279 1.5160933 0
4431 4238 4030 10 M -0.493596890 -1.235675957 1.0081786 0
4432 4238 4030 10 M  0.031675148 -0.986337577 0.9594739 0
4433 4238 4030 10 F  2.780934717  0.643177015 1.0233044 0
4434 4238 4030 10 M  2.214322306  0.969662774 0.9437841 0
4435 4238 4030 10 F -0.664227240 -0.748127496 0.8295492 0
4436 4238 4239 10 F  1.550570730  0.291853909 1.2416071 0
4437 4238 4239 10 F  1.330206212  0.192436896 1.4206576 0
4438 4238 4239 10 M  1.701354632  0.763775806 1.4312222 0
4439 4238 4239 10 F  2.120381024  0.421243557 1.5413625 0
4440 4238 4239 10 M  0.716649534 -0.732903824 1.2149526 0
4441 4021 3985 10 M  0.780989027  0.287457304 0.5427513 0
4442 4021 3985 10 M  1.446135221  0.437210784 0.7927627 0
4443 4021 3985 10 F  1.519335860  0.505188804 0.7703584 0
4444 4021 3985 10 F  1.400698356 -0.070103186 1.5098864 0
4445 4021 3985 10 M  0.697260715 -0.539982435 0.7787263 0
4446 4021 3974 10 F -0.128057552 -0.020930808 0.5438482 0
4447 4021 3974 10 M  0.649668975 -0.796568927 1.1753077 0
4448 4021 3974 10 M  2.176211267  0.524883348 1.3629803 0
4449 4021 3974 10 F  1.502727912 -0.407737973 1.4335827 0
4450 4021 3974 10 M  1.108766833  0.137317960 0.7926560 0
4451 4178 4037 10 F  1.316048954  0.488319876 0.9246361 0
4452 4178 4037 10 M  1.438141947  0.573181659 0.8517821 0
4453 4178 4037 10 F  1.442388760  0.714645551 0.8448821 0
4454 4178 4037 10 M  1.486038357  0.401055681 0.9494851 0
4455 4178 4037 10 M  1.534761138  0.335844464 0.8671201 0
4456 4178 3963 10 M  1.663175419  0.642916341 0.9882656 0
4457 4178 3963 10 F  0.243853314 -0.036079288 0.9143330 0
4458 4178 3963 10 M  1.497379616  1.071351965 0.8393327 0
4459 4178 3963 10 M  0.932917726 -0.158074761 0.8899644 0
4460 4178 3963 10 M  1.291925754  0.146948218 1.0272923 0
4461 4309 3961 10 F  1.152759921  0.058304604 1.3356130 0
4462 4309 3961 10 F  0.998700305 -0.397410308 1.4346735 0
4463 4309 3961 10 M  1.346944714  0.016781276 1.3091013 0
4464 4309 3961 10 F  1.776898884 -0.452559087 1.3710905 0
4465 4309 3961 10 F  0.969498574  0.232993854 0.9072410 0
4466 4309 4129 10 M  1.512921098 -0.194500812 1.6880924 0
4467 4309 4129 10 M -0.309110870 -0.574913463 0.6776631 0
4468 4309 4129 10 M  1.276796572  0.133556923 1.1448177 0
4469 4309 4129 10 M -0.015651869  0.062949884 0.6376192 0
4470 4309 4129 10 M  1.085252643 -0.643330566 1.5946848 0
4471 4283 4013 10 M  0.775210189 -0.599200896 1.0670103 0
4472 4283 4013 10 M  0.295293190  0.541821528 1.0864542 0
4473 4283 4013 10 M  0.505223690 -0.544198768 1.0499894 0
4474 4283 4013 10 F -0.840532848 -1.606895907 1.1269866 0
4475 4283 4013 10 F  1.827715068  0.252844401 0.9198317 0
4476 4283 4054 10 M -0.685796856 -1.744449003 1.1001158 0
4477 4283 4054 10 F -0.116955627  0.242397687 0.6275745 0
4478 4283 4054 10 M -0.910468244 -0.655468123 0.5897954 0
4479 4283 4054 10 F  3.250626801  1.300990531 0.9254501 0
4480 4283 4054 10 M  2.926127467  1.412423095 0.7740754 0
4481 4004 4241 10 F  0.662025595  0.072013090 0.8452155 0
4482 4004 4241 10 M  1.760509108  0.895065537 1.1594402 0
4483 4004 4241 10 F  0.294243028  0.061229813 0.8278842 0
4484 4004 4241 10 M  3.059652170  1.716767678 1.1227195 0
4485 4004 4241 10 M  1.809264841  0.758158102 1.0928248 0
4486 4004 4055 10 F  0.252017590 -0.314225325 0.9562365 0
4487 4004 4055 10 M  2.659302180  1.025969059 1.1114772 0
4488 4004 4055 10 F  0.653474163  0.249246760 0.8416929 0
4489 4004 4055 10 M  1.389179355 -0.488254680 1.0539032 0
4490 4004 4055 10 F  1.099794100  0.174198107 0.9663345 0
4491 4295 3920 10 F  1.162656238  0.216360212 1.1805195 0
4492 4295 3920 10 F  2.043579808  0.992885864 1.0670285 0
4493 4295 3920 10 M  0.471804368 -0.904975160 1.3101575 0
4494 4295 3920 10 F  2.350115168  0.421298416 1.1537408 0
4495 4295 3920 10 M -0.052340064 -1.359984773 1.2405907 0
4496 4295 3941 10 M  0.719696451 -0.821405895 1.3925907 0
4497 4295 3941 10 F -0.117649037 -0.819008028 0.9919903 0
4498 4295 3941 10 F  2.062883697  1.003259464 1.1586733 0
4499 4295 3941 10 F  1.329976304  0.236694920 1.2132645 0
4500 4295 3941 10 M  0.572454714  0.340157674 1.2698206 0
4501 4110 4256 10 F  2.012127388  0.680808179 1.2567033 0
4502 4110 4256 10 F  2.476025879  1.111657808 0.9896857 0
4503 4110 4256 10 M  0.955306090 -0.015997998 0.8906143 0
4504 4110 4256 10 F  0.242669169 -0.568514203 1.0952452 0
4505 4110 4256 10 M -0.259473250 -1.082662671 1.1076600 0
4506 4110 4097 10 M  2.201005079  0.374746229 0.7624289 0
4507 4110 4097 10 F  2.212771025  0.488914012 1.2991100 0
4508 4110 4097 10 M  0.511866595 -1.275441958 1.2269960 0
4509 4110 4097 10 F  1.205545922 -0.413571690 1.2043354 0
4510 4110 4097 10 M  0.934649460 -0.462041862 0.9269694 0
4511 4152 3992 10 F  0.607385606 -0.639859232 1.2364778 0
4512 4152 3992 10 F  1.390443529  0.289812400 1.0270001 0
4513 4152 3992 10 M  2.257620296  0.414824100 1.3880755 0
4514 4152 3992 10 M  2.096987430  1.232153104 1.1303274 0
4515 4152 3992 10 F  1.649377572 -0.333121259 1.3436559 0
4516 4152 3984 10 M  0.673948812 -0.599397381 1.2600180 0
4517 4152 3984 10 M  2.160507102  1.037344572 1.2496975 0
4518 4152 3984 10 M  0.752171809 -0.487403327 1.2854674 0
4519 4152 3984 10 M  0.340452845 -0.065036154 0.9545467 0
4520 4152 3984 10 M  1.852399756  0.713924818 1.2565610 0
4521 4247 4250 10 M  0.304557016 -0.079107753 0.9806157 0
4522 4247 4250 10 M -0.075635494 -1.143994180 1.0799490 0
4523 4247 4250 10 M  0.161600099 -0.342415329 1.0529112 0
4524 4247 4250 10 M -0.157488259 -0.834173658 1.0550912 0
4525 4247 4250 10 M  0.487206100 -0.295626073 1.0535184 0
4526 4247 4219 10 F  0.606696296 -0.950913152 1.2919877 0
4527 4247 4219 10 F  1.779654807  0.228658392 1.2862983 0
4528 4247 4219 10 M  1.940795841  0.296931395 1.3045441 0
4529 4247 4219 10 M  2.282319438  0.551090010 1.3798960 0
4530 4247 4219 10 M  0.181613106 -1.115105764 1.1851080 0
4531 4236 4067 10 F -0.130453690 -1.318060473 0.9307824 0
4532 4236 4067 10 F  1.823278001  0.327788904 1.1648321 0
4533 4236 4067 10 F  1.347704454  0.146149474 0.8581322 0
4534 4236 4067 10 F  1.959194991  0.490207305 1.0496147 0
4535 4236 4067 10 F  1.740038020  0.169215587 1.1431656 0
4536 4236 4136 10 M  2.004742078  0.465541474 1.1925897 0
4537 4236 4136 10 M  0.916314280 -0.765998304 1.3659598 0
4538 4236 4136 10 F  0.914276102  0.030577488 0.8805394 0
4539 4236 4136 10 M  3.465070807  1.526320416 1.3490443 0
4540 4236 4136 10 M  2.029267839 -0.248143444 1.3043026 0
4541 3858 4269 10 M  1.148869462 -0.208403539 1.1257610 0
4542 3858 4269 10 F -0.244969587 -1.329917232 1.3013325 0
4543 3858 4269 10 M  1.355354753  0.019498196 1.1342367 0
4544 3858 4269 10 M  1.097627598  0.094067852 1.0933027 0
4545 3858 4269 10 M  1.965350449  0.927949430 1.1366358 0
4546 3858 3923 10 F  0.510803742 -0.068961098 0.9286782 0
4547 3858 3923 10 M  2.273541778  0.696430626 1.4703713 0
4548 3858 3923 10 M  0.691130320 -0.184744803 1.1260518 0
4549 3858 3923 10 F  1.171699568  0.237329601 1.0675913 0
4550 3858 3923 10 M  1.031365589  0.235644793 1.1604508 0
4551 3929 4323 10 M  1.011086634 -0.280547093 1.0567797 0
4552 3929 4323 10 M  0.662648612 -0.709430328 0.9392561 0
4553 3929 4323 10 M  0.943839733  0.191937262 0.8436586 0
4554 3929 4323 10 F  1.562299057  0.079873241 1.1374154 0
4555 3929 4323 10 F  1.908521400  1.383429921 0.7422298 0
4556 3929 4034 10 F  1.282535548  0.098447305 1.1419660 0
4557 3929 4034 10 F  2.122052931  0.569355449 1.1384537 0
4558 3929 4034 10 M  1.340080650 -0.003004833 1.1882500 0
4559 3929 4034 10 F  1.227090434 -0.125194515 1.1675920 0
4560 3929 4034 10 M  1.068624017 -0.165445100 1.2098331 0
4561 4339 3935 10 F -2.047940601 -0.701773514 0.2991110 0
4562 4339 3935 10 F  0.882474271  0.559671321 0.6599827 0
4563 4339 3935 10 M  1.628495135  0.460881733 0.9790826 0
4564 4339 3935 10 M  0.512870709  1.152725676 0.5265556 0
4565 4339 3935 10 M  0.304177492  0.242265273 0.5066327 0
4566 4339 3884 10 F  0.215836487 -0.103212596 0.6089585 0
4567 4339 3884 10 M  1.166129367  0.866823921 0.7307284 0
4568 4339 3884 10 M  0.660429761 -0.982343345 0.9505734 0
4569 4339 3884 10 F  0.815443782 -0.067222907 0.8000835 0
4570 4339 3884 10 F  1.922667081  1.011998264 0.7921355 0
4571 3873 4338 10 M  1.301394643  0.011654060 1.0574693 0
4572 3873 4338 10 F  1.375272909  0.327349223 0.9880165 0
4573 3873 4338 10 F  1.216661045 -0.058298088 0.9677038 0
4574 3873 4338 10 F  1.348872000  0.048108888 1.2036539 0
4575 3873 4338 10 M  1.776362884  1.217045331 0.9444567 0
4576 3873 3953 10 F -1.497023256 -1.590840862 0.8623127 0
4577 3873 3953 10 M  0.934109974 -0.679026574 1.2529551 0
4578 3873 3953 10 M  0.250242132 -0.547506034 0.9566541 0
