ID sire dam generation sex phen env tbvp gebvp
   1 4730 5258 5 M  2.621229723 -0.0779286778 1.8338392 0
   2 4730 5258 5 M  1.164920208 -0.6479182010 1.7130055 0
   3 4730 5258 5 F  2.173585802 -0.1976647252 1.8657380 0
   4 4730 5258 5 F  0.427857822 -1.1008533039 1.6257809 0
   5 4730 5258 5 F  2.095798146 -0.7262280897 1.8934314 0
   6 4730 5300 5 M  1.593433539 -0.4733366276 1.8231538 0
   7 4730 5300 5 M  3.514811828  0.8604461216 2.0002840 0
   8 4730 5300 5 F  1.592692055 -0.3646387940 1.6557580 0
   9 4730 5300 5 F  2.581571310  0.5132373188 1.8200728 0
  10 4730 5300 5 M  1.991209752 -0.5944064662 1.9903041 0
  11 4675 4641 5 M  2.522407659  0.4631167610 1.7790301 0
  12 4675 4641 5 F  4.119678846  1.7458445699 1.8588046 0
  13 4675 4641 5 F  2.121651098 -0.3963113919 1.9636868 0
  14 4675 4641 5 F  3.022966888  0.3518281065 2.0902970 0
  15 4675 4641 5 F  1.756487270 -0.1666740632 1.8293361 0
  16 4675 5138 5 F  3.336595090 -0.0441647541 2.3026583 0
  17 4675 5138 5 M  2.821507938 -0.3513104765 2.1799384 0
  18 4675 5138 5 M  3.160960224  0.9538029185 1.7908924 0
  19 4675 5138 5 F  3.970261405  1.8833031094 1.8890268 0
  20 4675 5138 5 M  2.447847363  0.0726144324 1.9126240 0
  21 4727 5297 5 F  2.809422194  1.1477599134 1.7245013 0
  22 4727 5297 5 M  1.945109825 -0.7144306195 2.0177189 0
  23 4727 5297 5 M  2.262706739  0.5353773724 1.5978837 0
  24 4727 5297 5 M  2.780660650  0.1527949592 2.0091110 0
  25 4727 5297 5 M  2.108471337 -0.1426935373 1.6839011 0
  26 4727 4516 5 F -0.924720025 -0.4752372821 0.8867027 0
  27 4727 4516 5 F  0.312668027  0.1245013368 1.0473358 0
  28 4727 4516 5 M -0.560516995 -0.0844667493 0.7885458 0
  29 4727 4516 5 M -0.154043625  0.0756652242 0.9053863 0
  30 4727 4516 5 F -0.561515783  0.1158485988 0.6833530 0
  31 4922 5294 5 M  2.185527445 -0.5751417003 1.7550266 0
  32 4922 5294 5 M  2.000715617 -0.1775998119 1.6903819 0
  33 4922 5294 5 M  0.774693250 -0.6985098722 1.4331702 0
  34 4922 5294 5 M  3.046873974  1.0616209738 1.6092880 0
  35 4922 5294 5 F  0.865046763 -0.0537391436 1.3835129 0
  36 4922 4614 5 F  1.479162289 -0.5760365808 1.7982648 0
  37 4922 4614 5 M  5.191929193  2.3801266556 1.8450948 0
  38 4922 4614 5 F  4.067204418  1.2816745824 1.8550335 0
  39 4922 4614 5 F  0.849137326 -1.6719249891 1.7776862 0
  40 4922 4614 5 M  2.860317202  0.1677826613 1.8889093 0
  41 4671 4333 5 F -0.696045295 -0.9012573598 1.0469624 0
  42 4671 4333 5 M  0.582877113  0.2691195893 1.0272091 0
  43 4671 4333 5 M -0.586156828 -0.5665774393 0.9722428 0
  44 4671 4333 5 M -0.772844871 -1.0075289460 1.0140353 0
  45 4671 4333 5 F -0.199609974 -0.4177823326 0.9870098 0
  46 4671 4987 5 M -0.710143452 -0.7245917947 0.8927568 0
  47 4671 4987 5 M  0.443441201  0.2199342409 1.1579510 0
  48 4671 4987 5 F -0.074508732 -0.0304602733 0.9942740 0
  49 4671 4987 5 F  0.322965685  0.0653760825 1.1401923 0
  50 4671 4987 5 M  0.613173440  0.5331290876 0.9217759 0
  51 4410 5299 5 M  2.603797954 -0.1170462623 1.8638690 0
  52 4410 5299 5 F  2.490872966  0.7870303812 1.6608634 0
  53 4410 5299 5 M  2.019659193  0.4351142591 1.7190792 0
  54 4410 5299 5 M  2.255849039 -0.4073895026 1.9453931 0
  55 4410 5299 5 M  1.496225041 -0.5622469284 1.6961872 0
  56 4410 5298 5 F  1.202548852 -0.9888437859 1.7245053 0
  57 4410 5298 5 M  3.417091301  0.4012929281 1.9824483 0
  58 4410 5298 5 M  1.720562026 -0.3615515730 1.7888026 0
  59 4410 5298 5 M  3.043314572  0.0238692109 1.9551153 0
  60 4410 5298 5 M  2.683840709 -0.3253244291 2.0613600 0
  61 4672 5029 5 M  0.853621095 -0.9802911690 1.6342865 0
  62 4672 5029 5 F  2.281814490 -0.3650141568 1.8920855 0
  63 4672 5029 5 M  2.564068371  0.4753020931 1.6681821 0
  64 4672 5029 5 M  3.682115223  1.5705134384 1.7915968 0
  65 4672 5029 5 M  2.217932130  0.0545723856 1.7474320 0
  66 4672 5253 5 M  2.134768625  0.4968944738 1.5493605 0
  67 4672 5253 5 M  0.893569002 -0.5204945881 1.5397241 0
  68 4672 5253 5 F  2.611943044  0.0674516030 1.9422872 0
  69 4672 5253 5 M  1.644681688  0.2854176234 1.6865071 0
  70 4672 5253 5 M  2.453406687  0.8320380077 1.6990527 0
  71 4586 5223 5 M  3.277569491  0.6973141730 1.8048696 0
  72 4586 5223 5 F  2.321624633 -0.1894125172 2.0411275 0
  73 4586 5223 5 M  1.194136368 -0.7028316188 1.7764450 0
  74 4586 5223 5 M  1.751261132 -0.8588209213 1.9006301 0
  75 4586 5223 5 M  1.615243200 -0.9555889201 1.7256825 0
  76 4586 4644 5 F  3.356328809  1.2279938987 1.5721121 0
  77 4586 4644 5 M  2.069879913 -0.3181165331 1.8626547 0
  78 4586 4644 5 M  2.224425986 -0.4992139303 1.9028002 0
  79 4586 4644 5 F  3.155676104  0.7098044479 1.6660379 0
  80 4586 4644 5 F  1.867676472  0.4593217187 1.6487864 0
  81 4954 5210 5 M  1.784920827 -0.6570734160 1.7855795 0
  82 4954 5210 5 F  2.769139035  0.7636581178 1.5529670 0
  83 4954 5210 5 M  2.661570679  0.5372484688 1.6264210 0
  84 4954 5210 5 F  1.866248631 -0.6767082902 1.8377968 0
  85 4954 5210 5 F -0.762928163 -1.5902567865 1.3568204 0
  86 4954 4736 5 F -0.110989405  0.0649682964 0.9137231 0
  87 4954 4736 5 M -0.193234363 -0.1041536493 0.9997789 0
  88 4954 4736 5 F -0.163767973  0.3331878977 0.7527495 0
  89 4954 4736 5 M -0.044320625  0.1299770969 0.8154739 0
  90 4954 4736 5 M  0.177724009  0.0419249598 1.0509445 0
  91 4680 5261 5 F -1.537991657 -0.9216254105 0.6895802 0
  92 4680 5261 5 F  0.463067579  0.5421558396 0.9527161 0
  93 4680 5261 5 M -0.916425417 -0.8322700396 0.9911191 0
  94 4680 5261 5 F -2.772695868 -1.9927225692 0.7631493 0
  95 4680 5261 5 M -0.928596679 -0.3555087620 0.8173232 0
  96 4680 4898 5 F  1.059068500  0.0497261139 1.4426555 0
  97 4680 4898 5 F  2.190586153  0.3314515808 1.8425891 0
  98 4680 4898 5 M  1.816298127  0.4258382718 1.5511426 0
  99 4680 4898 5 F  2.212798715  0.5841198614 1.6432818 0
 100 4680 4898 5 M  1.970604200  0.9319932687 1.5102842 0
 101 4331 4731 5 F  1.799232340 -0.9305821289 1.9421020 0
 102 4331 4731 5 F  2.341063544  0.7858903327 1.5460462 0
 103 4331 4731 5 M  3.398782598  1.5612728818 1.5745976 0
 104 4331 4731 5 M  2.856457958  0.9455280214 1.6307261 0
 105 4331 4731 5 M  2.737776450 -0.1440607802 2.0388253 0
 106 4331 5019 5 F  1.454068732  0.1692215790 1.5655018 0
